,sigma,labels
0,2.630605697631836,0.0
1,1.485200047492981,0.0
2,1.9410111904144287,0.0
3,2.5109920501708984,0.0
4,2.6177008152008057,0.0
5,1.1660990715026855,0.0
6,3.216032028198242,0.0
7,3.5862345695495605,0.0
8,3.503490447998047,0.0
9,2.008887767791748,0.0
10,3.3760986328125,0.0
11,0.30350708961486816,0.0
12,4.381972789764404,0.0
13,0.583894670009613,0.0
14,0.43715065717697144,0.0
15,2.772634267807007,0.0
16,2.3685460090637207,0.0
17,3.1154143810272217,0.0
18,0.6589545011520386,0.0
19,0.43037816882133484,0.0
20,2.064227819442749,0.0
21,4.222165107727051,0.0
22,2.7764134407043457,0.0
23,0.5280464887619019,0.0
24,2.5336081981658936,0.0
25,2.930701732635498,0.0
26,2.9791431427001953,0.0
27,3.235365390777588,0.0
28,1.5615742206573486,0.0
29,1.919609785079956,0.0
30,2.105721950531006,0.0
31,2.192814588546753,0.0
32,2.5619969367980957,0.0
33,2.3309102058410645,0.0
34,1.2256520986557007,0.0
35,2.5961785316467285,0.0
36,2.7385246753692627,0.0
37,1.4561049938201904,0.0
38,0.7214670181274414,0.0
39,3.1111531257629395,0.0
40,2.448007583618164,0.0
41,2.7014245986938477,0.0
42,4.078418731689453,0.0
43,1.311744213104248,0.0
44,2.004647970199585,0.0
45,0.8973131775856018,0.0
46,2.1591453552246094,0.0
47,3.270390510559082,0.0
48,1.2671912908554077,0.0
49,3.4808850288391113,0.0
50,3.1061618328094482,0.0
51,1.4279263019561768,0.0
52,3.5929248332977295,0.0
53,3.289726734161377,0.0
54,1.6267255544662476,0.0
55,1.4436235427856445,0.0
56,3.194145441055298,0.0
57,2.8780829906463623,0.0
58,3.251016855239868,0.0
59,3.204484462738037,0.0
60,1.7885301113128662,0.0
61,3.0050673484802246,0.0
62,3.486945629119873,0.0
63,3.0449910163879395,0.0
64,2.3613128662109375,0.0
65,1.925093173980713,0.0
66,1.4489511251449585,0.0
67,2.6518163681030273,0.0
68,2.2046422958374023,0.0
69,3.8305459022521973,0.0
70,2.08617901802063,0.0
71,3.0453784465789795,0.0
72,1.4289425611495972,0.0
73,0.3857836127281189,0.0
74,2.684603691101074,0.0
75,1.5840888023376465,0.0
76,3.006603240966797,0.0
77,2.692802667617798,0.0
78,2.592289447784424,0.0
79,0.7957776784896851,0.0
80,1.4992516040802002,0.0
81,2.8332772254943848,0.0
82,1.1120243072509766,0.0
83,1.3747248649597168,0.0
84,2.6448616981506348,0.0
85,3.404723644256592,0.0
86,2.484239339828491,0.0
87,3.2546801567077637,0.0
88,2.5636026859283447,0.0
89,1.5707584619522095,0.0
90,0.48634272813796997,0.0
91,3.0141310691833496,0.0
92,0.7691797614097595,0.0
93,1.1991195678710938,0.0
94,2.393909454345703,0.0
95,1.6848900318145752,0.0
96,2.9402313232421875,0.0
97,2.2716336250305176,0.0
98,2.6904456615448,0.0
99,3.277536630630493,0.0
100,2.580671787261963,0.0
101,2.517840623855591,0.0
102,1.7472114562988281,0.0
103,3.0970654487609863,0.0
104,0.4903397560119629,0.0
105,0.9048749208450317,0.0
106,2.5125412940979004,0.0
107,1.360318660736084,0.0
108,1.880724310874939,0.0
109,3.436479091644287,0.0
110,1.7258195877075195,0.0
111,4.252876281738281,0.0
112,2.685110092163086,0.0
113,1.2701067924499512,0.0
114,1.473839521408081,0.0
115,3.608769416809082,0.0
116,1.9669172763824463,0.0
117,1.9872617721557617,0.0
118,3.1666128635406494,0.0
119,1.5746673345565796,0.0
120,2.799671173095703,0.0
121,3.564517021179199,0.0
122,2.519533395767212,0.0
123,1.632246732711792,0.0
124,3.5687294006347656,0.0
125,3.75569224357605,0.0
126,3.570557117462158,0.0
127,3.3006324768066406,0.0
128,3.0527584552764893,0.0
129,3.2178702354431152,0.0
130,2.600296974182129,0.0
131,0.32347944378852844,0.0
132,2.97853422164917,0.0
133,0.48570311069488525,0.0
134,0.9780591726303101,0.0
135,2.130995750427246,0.0
136,0.40463435649871826,0.0
137,1.38808274269104,0.0
138,2.9686851501464844,0.0
139,0.9997328519821167,0.0
140,2.37264347076416,0.0
141,2.773202896118164,0.0
142,2.166849136352539,0.0
143,2.7937769889831543,0.0
144,1.84845769405365,0.0
145,3.832031726837158,0.0
146,1.1904555559158325,0.0
147,3.1535420417785645,0.0
148,3.639268398284912,0.0
149,4.13387393951416,0.0
150,2.101396083831787,0.0
151,3.688368320465088,0.0
152,2.563380241394043,0.0
153,3.5868730545043945,0.0
154,3.083209991455078,0.0
155,1.530124545097351,0.0
156,3.989095687866211,0.0
157,0.44738972187042236,0.0
158,3.2951643466949463,0.0
159,1.859968900680542,0.0
160,4.022019386291504,0.0
161,0.5703964233398438,0.0
162,4.010337829589844,0.0
163,3.1352100372314453,0.0
164,4.3780107498168945,0.0
165,2.9018137454986572,0.0
166,1.2660102844238281,0.0
167,3.2800145149230957,0.0
168,3.774237632751465,0.0
169,3.910933494567871,0.0
170,1.7611701488494873,0.0
171,2.3609461784362793,0.0
172,3.3182079792022705,0.0
173,1.1135077476501465,0.0
174,1.063031554222107,0.0
175,0.42122694849967957,0.0
176,3.527451992034912,0.0
177,1.2687209844589233,0.0
178,2.965944290161133,0.0
179,2.9093270301818848,0.0
180,1.492871642112732,0.0
181,3.241609573364258,0.0
182,3.777292251586914,0.0
183,3.487427234649658,0.0
184,3.550753355026245,0.0
185,0.9395265579223633,0.0
186,3.151226043701172,0.0
187,2.0676348209381104,0.0
