,sigma,labels
0,6.041681289672852,0.0
1,5.013415813446045,0.0
2,5.411190986633301,0.0
3,4.833604335784912,0.0
4,2.4472808837890625,0.0
5,2.744696617126465,0.0
6,3.61694073677063,0.0
7,5.972618579864502,0.0
8,3.9321341514587402,0.0
9,2.371741771697998,0.0
10,5.633254051208496,0.0
11,3.2033920288085938,0.0
12,5.846540451049805,0.0
13,0.813941478729248,0.0
14,3.2034010887145996,0.0
15,4.527831077575684,0.0
16,3.0445284843444824,0.0
17,6.1386494636535645,0.0
18,1.314029574394226,0.0
19,0.7403333187103271,0.0
20,5.8668060302734375,0.0
21,5.218400001525879,0.0
22,6.028816223144531,0.0
23,3.2423717975616455,0.0
24,5.187700271606445,0.0
25,5.821336269378662,0.0
26,5.177722454071045,0.0
27,5.7631306648254395,0.0
28,4.816423416137695,0.0
29,6.051201820373535,0.0
30,2.0954697132110596,0.0
31,4.914769172668457,0.0
32,5.366051197052002,0.0
33,5.907675743103027,0.0
34,3.391845226287842,0.0
35,5.611498832702637,0.0
36,5.454100131988525,0.0
37,5.932268142700195,0.0
38,4.217223167419434,0.0
39,4.951177597045898,0.0
40,5.874635696411133,0.0
41,0.6966427564620972,0.0
42,6.0576324462890625,0.0
43,3.971153497695923,0.0
44,5.6041460037231445,0.0
45,3.2078089714050293,0.0
46,5.372708320617676,0.0
47,6.21607780456543,0.0
48,5.617234230041504,0.0
49,5.644284248352051,0.0
50,4.852241516113281,0.0
51,4.792580604553223,0.0
52,5.749808311462402,0.0
53,6.196805953979492,0.0
54,1.4840826988220215,0.0
55,5.644951820373535,0.0
56,5.957606792449951,0.0
57,5.528042793273926,0.0
58,6.08144998550415,0.0
59,5.0035719871521,0.0
60,6.187924385070801,0.0
61,5.775239944458008,0.0
62,6.1081671714782715,0.0
63,5.987051010131836,0.0
64,6.3529558181762695,0.0
65,5.623878002166748,0.0
66,3.755446434020996,0.0
67,6.414536476135254,0.0
68,5.158723831176758,0.0
69,6.280510902404785,0.0
70,5.601424694061279,0.0
71,6.231008529663086,0.0
72,6.005316734313965,0.0
73,0.9359545111656189,0.0
74,6.698413848876953,0.0
75,4.3643083572387695,0.0
76,6.538558006286621,0.0
77,5.578044414520264,0.0
78,4.984005928039551,0.0
79,0.8366597890853882,0.0
80,0.8045967221260071,0.0
81,3.1598434448242188,0.0
82,1.3559983968734741,0.0
83,3.696444272994995,0.0
84,4.255268096923828,0.0
85,5.9919047355651855,0.0
86,5.502803325653076,0.0
87,5.8400139808654785,0.0
88,5.676422595977783,0.0
89,3.2024049758911133,0.0
90,1.3328163623809814,0.0
91,5.588193416595459,0.0
92,0.8045824766159058,0.0
93,3.162428855895996,0.0
94,6.064145088195801,0.0
95,5.958884239196777,0.0
96,5.933590888977051,0.0
97,5.891205310821533,0.0
98,6.240808010101318,0.0
99,6.281381607055664,0.0
100,5.9563140869140625,0.0
101,5.740045070648193,0.0
102,2.717385768890381,0.0
103,4.9407548904418945,0.0
104,1.019486427307129,0.0
105,1.0144070386886597,0.0
106,5.8715314865112305,0.0
107,2.2705752849578857,0.0
108,6.51987886428833,0.0
109,2.7156848907470703,0.0
110,5.107247352600098,0.0
111,6.518563747406006,0.0
112,5.892313003540039,0.0
113,4.890995979309082,0.0
114,4.7941436767578125,0.0
115,6.285700798034668,0.0
116,0.7935888767242432,0.0
117,5.588788032531738,0.0
118,5.288337707519531,0.0
119,4.726476192474365,0.0
120,5.647125244140625,0.0
121,5.619868278503418,0.0
122,4.64556360244751,0.0
123,5.468658924102783,0.0
124,6.422390937805176,0.0
125,6.464344024658203,0.0
126,4.096312046051025,0.0
127,6.00723934173584,0.0
128,5.723398208618164,0.0
129,5.793807506561279,0.0
130,5.426339149475098,0.0
131,1.0424271821975708,0.0
132,6.1151957511901855,0.0
133,3.2534308433532715,0.0
134,2.489579677581787,0.0
135,4.7796125411987305,0.0
136,3.8196635246276855,0.0
137,5.020416259765625,0.0
138,5.9894256591796875,0.0
139,6.437777996063232,0.0
140,5.715557098388672,0.0
141,4.418983459472656,0.0
142,6.414013862609863,0.0
143,5.016175270080566,0.0
144,0.8173871636390686,0.0
145,5.15859317779541,0.0
146,2.423290491104126,0.0
147,1.7135945558547974,0.0
148,4.5836920738220215,0.0
149,5.277057647705078,0.0
150,6.219775199890137,0.0
151,4.547054290771484,0.0
152,3.6328015327453613,0.0
153,3.49983811378479,0.0
154,5.068958282470703,0.0
155,3.5036115646362305,0.0
156,4.763956069946289,0.0
157,6.219607353210449,0.0
158,5.4399919509887695,0.0
159,5.326108932495117,0.0
160,5.338679313659668,0.0
161,1.0124372243881226,0.0
162,4.114889144897461,0.0
163,4.324525833129883,0.0
164,5.677828311920166,0.0
165,6.271869659423828,0.0
166,0.8772057294845581,0.0
167,3.360518455505371,0.0
168,6.03587532043457,0.0
169,6.19874382019043,0.0
170,4.790105819702148,0.0
171,5.103629112243652,0.0
172,4.6942219734191895,0.0
173,4.667137145996094,0.0
174,3.2238125801086426,0.0
175,3.9407052993774414,0.0
176,5.8792829513549805,0.0
177,4.345651149749756,0.0
178,5.155076503753662,0.0
179,6.823660850524902,0.0
180,6.297901630401611,0.0
181,4.810323715209961,0.0
182,4.894085884094238,0.0
183,5.48012638092041,0.0
184,6.32550048828125,0.0
185,2.2257864475250244,0.0
186,5.626913070678711,0.0
187,4.790464401245117,0.0
188,5.189666748046875,0.0
189,4.192622184753418,0.0
190,6.125870704650879,0.0
191,6.440488815307617,0.0
192,6.033133029937744,0.0
193,6.450892448425293,0.0
194,5.416136741638184,0.0
195,5.962718963623047,0.0
196,2.623847246170044,0.0
197,6.1276445388793945,0.0
198,5.563522815704346,0.0
199,6.348292350769043,0.0
200,5.480285167694092,0.0
201,6.517947196960449,0.0
202,0.8371850252151489,0.0
203,2.2824788093566895,0.0
204,4.366109371185303,0.0
205,4.854865074157715,0.0
206,1.1212544441223145,0.0
207,5.540081977844238,0.0
208,1.001779556274414,0.0
209,5.08585786819458,0.0
210,5.574220180511475,0.0
211,6.044320106506348,0.0
212,5.387804985046387,0.0
213,6.550411224365234,0.0
214,5.62751579284668,0.0
215,6.315885543823242,0.0
216,5.705278396606445,0.0
217,4.26323127746582,0.0
218,6.821781158447266,0.0
219,0.8403134942054749,0.0
220,6.220798015594482,0.0
221,5.883469581604004,0.0
222,3.4993515014648438,0.0
223,5.136750221252441,0.0
224,5.651917934417725,0.0
225,3.2034449577331543,0.0
226,6.447070121765137,0.0
227,4.811877250671387,0.0
228,5.328135013580322,0.0
229,6.388011932373047,0.0
230,6.288712501525879,0.0
231,1.0124409198760986,0.0
232,6.117749214172363,0.0
233,4.203063011169434,0.0
234,3.6020302772521973,0.0
235,0.7511122226715088,0.0
236,4.957157135009766,0.0
237,6.24405574798584,0.0
238,5.127328872680664,0.0
239,4.909985542297363,0.0
240,1.0115418434143066,0.0
241,5.938867568969727,0.0
242,5.946110725402832,0.0
243,6.312350273132324,0.0
244,4.330826282501221,0.0
245,6.347100257873535,0.0
246,6.798064231872559,0.0
247,3.338237762451172,0.0
248,5.7089033126831055,0.0
249,6.745607852935791,0.0
250,5.532619476318359,0.0
251,5.299087047576904,0.0
252,4.771148681640625,0.0
253,4.53814172744751,0.0
254,5.316662788391113,0.0
255,5.871668815612793,0.0
256,4.882807731628418,0.0
257,2.4865944385528564,0.0
258,0.8611639142036438,0.0
259,4.70064640045166,0.0
260,5.008914470672607,0.0
261,1.480722427368164,0.0
262,6.454370498657227,0.0
263,5.004333019256592,0.0
264,0.9554123878479004,0.0
265,5.961250305175781,0.0
266,5.617656707763672,0.0
267,5.429770469665527,0.0
268,1.419492244720459,0.0
269,6.318427085876465,0.0
270,5.369437217712402,0.0
271,5.610905170440674,0.0
272,1.0630255937576294,0.0
273,5.121702194213867,0.0
274,1.9136897325515747,0.0
275,5.755315780639648,0.0
276,6.493207931518555,0.0
277,5.852631568908691,0.0
278,6.315756797790527,0.0
279,6.141104698181152,0.0
280,3.2033920288085938,0.0
281,6.093482971191406,0.0
282,2.008157730102539,0.0
283,1.0124714374542236,0.0
284,6.052916526794434,0.0
285,3.203387975692749,0.0
286,1.1055090427398682,0.0
287,3.3293042182922363,0.0
288,5.773419380187988,0.0
289,6.571045875549316,0.0
290,1.0728085041046143,0.0
291,5.341620445251465,0.0
292,4.851464748382568,0.0
293,2.5993847846984863,0.0
294,5.507452011108398,0.0
295,5.229240417480469,0.0
296,0.7914077043533325,0.0
297,1.31196129322052,0.0
298,6.024974822998047,0.0
299,4.246828079223633,0.0
300,2.794158458709717,0.0
301,2.695594072341919,0.0
302,5.461543560028076,0.0
303,5.909839630126953,0.0
304,5.476740837097168,0.0
305,5.164734840393066,0.0
306,4.3511552810668945,0.0
307,5.686651229858398,0.0
308,2.387441635131836,0.0
309,4.970537185668945,0.0
310,6.258437156677246,0.0
311,0.7292173504829407,0.0
312,5.91217565536499,0.0
313,3.4023971557617188,0.0
314,5.51602840423584,0.0
315,3.371354579925537,0.0
316,3.4081943035125732,0.0
317,5.1412577629089355,0.0
318,6.038564205169678,0.0
319,5.154665470123291,0.0
320,5.943546295166016,0.0
321,5.1302642822265625,0.0
322,5.909119606018066,0.0
323,5.955233573913574,0.0
324,6.078886032104492,0.0
325,6.440113067626953,0.0
326,2.3043246269226074,0.0
327,5.855277061462402,0.0
328,5.689062118530273,0.0
329,5.067829132080078,0.0
330,6.176204681396484,0.0
331,3.434831142425537,0.0
332,1.1034001111984253,0.0
333,2.209153175354004,0.0
334,1.0235867500305176,0.0
